x	y	a	b	phi
170.092	100.221	28.4504	23.0393	-7.02994
170.092	100.221	28.4504	23.0393	-7.02994
170.092	100.221	28.4504	23.0393	-7.02994
170.05	100.081	28.3692	23.2319	-6.46371
170.088	99.7859	28.3908	23.0828	-1.31544
169.797	99.3235	28.384	23.1536	-4.31309
169.472	98.9824	28.4376	23.0452	-4.00393
169.403	98.7273	28.4388	23.1256	-3.37361
169.272	98.1091	28.3686	22.7376	-5.14481
169.274	97.8345	28.4063	22.9024	-7.69519
168.991	97.152	28.4272	22.7677	-6.79884
168.856	96.2882	28.5387	22.4326	-7.09344
168.396	95.6568	28.5319	22.4455	-5.37771
168.084	94.9173	28.042	22.4777	-6.10701
167.891	94.3569	28.065	22.199	-6.49348
167.603	93.4295	28.3673	21.9981	-7.7542
166.985	92.7472	28.4563	21.9721	-6.76564
166.644	92.1107	28.1382	21.6448	-8.50583
166.346	91.1963	28.2495	21.497	-9.15783
165.686	90.6322	28.3354	21.2921	-8.59552
165.454	89.9234	28.2546	21.0665	-9.91877
164.765	89.2075	28.3853	20.8436	-7.82223
164.637	88.5378	28.3368	20.4126	-8.88956
164.041	88.0832	27.7923	20.6967	-10.6568
163.559	87.3829	28.0062	20.6765	-7.0389
163.085	86.7787	27.8438	20.6632	-7.89415
162.498	86.5092	27.984	20.2901	-10.0042
162.098	85.8828	27.7091	20.2244	-12.294
161.627	85.6228	28.3565	20.0273	-10.5476
160.948	85.3655	28.3545	19.746	-10.3476
160.609	85.0469	28.1026	19.6847	-11.4865
159.847	84.7046	28.1584	19.9359	-12.1584
159.443	84.3067	28.0918	19.459	-10.6944
158.781	84.1015	28.0038	19.5862	-11.5609
158.636	83.8126	28.1468	19.1767	-12.0225
157.719	83.6814	28.0969	19.2384	-12.9744
157.184	83.3197	28.0895	19.081	-12.7072
156.653	83.2037	28.2436	19.2052	-13.1103
155.997	82.7512	27.8403	18.966	-14.1216
155.431	82.7275	28.0835	19.0843	-14.5795
154.441	82.5857	27.8905	19.1055	-14.2899
153.969	82.5066	27.9112	18.8718	-16.4716
153.43	82.2156	28.5331	18.4729	-15.6763
152.91	81.9622	28.3212	18.3911	-15.475
151.849	81.9534	27.915	18.7315	-15.2657
150.991	81.805	27.9778	18.5674	-17.0124
150.503	81.783	28.0745	18.4694	-17.3005
149.599	81.7206	27.8896	18.23	-18.0012
149.033	81.6915	27.7459	18.0396	-18.8168
148.108	81.6076	28.1072	18.2921	-19.8073
147.358	81.5327	28.0143	18.0262	-21.0194
146.739	81.721	27.8421	17.9058	-19.7265
146.111	81.6451	28.1618	17.7521	-19.4704
145.198	81.8193	28.2284	17.8417	-20.9592
144.49	82.0346	28.0063	17.8185	-19.9194
143.57	82.1253	27.9113	17.8593	-21.1468
143.14	81.9396	27.7813	17.6383	-20.9917
142.47	82.1214	28.0177	17.7789	-22.2216
142.025	82.2588	27.6307	17.6307	-22.4258
140.981	82.5224	28.2293	17.4824	-23.4585
140.277	82.6368	27.8484	17.5876	-23.3397
139.867	82.6738	27.905	17.5826	-23.0366
138.996	82.9396	28.1677	17.6837	-24.882
138.482	83.1912	27.6871	17.4433	-23.9116
137.689	83.3696	28.2492	17.3244	-24.7325
136.889	83.4738	27.8238	17.4565	-26.7357
136.324	83.8349	27.4851	17.5612	-26.2969
135.815	83.9735	28.0335	17.3433	-27.5222
135.057	84.4299	27.9634	17.1523	-26.4081
133.787	84.7184	27.6268	17.3121	-27.4761
133.268	84.9057	27.8296	17.3249	-26.8649
132.698	85.1529	28.2643	17.2054	-28.5395
131.786	85.4663	28.0782	17.3163	-27.5974
130.953	86.0347	28.3164	17.2711	-29.3533
130.339	86.312	27.6831	17.115	-29.7481
129.616	86.7663	28.3527	17.1842	-30.8052
128.769	87.4393	28.2933	17.2906	-31.401
128.332	87.4471	28.1057	17.2644	-31.1675
127.255	88.3654	28.0909	17.2007	-32.6626
126.773	88.6478	28.269	17.0934	-32.3009
125.936	89.0763	28.2037	17.099	-32.7597
125.533	89.3338	28.2546	17.0829	-32.0865
124.917	90.0481	27.8528	16.9736	-33.199
123.982	90.431	27.8051	17.1834	-34.6664
123.712	90.7939	28.2604	17.3011	-35.0246
122.844	91.5413	27.8592	17.3564	-34.1717
122.306	91.8849	27.698	17.3827	-36.1555
121.949	92.1825	28.2107	17.4073	-36.3944
121.258	92.8425	28.0802	17.4379	-37.7295
121.129	93.0168	28.2178	17.5216	-37.7336
120.238	93.8466	27.9474	17.4207	-38.9776
119.977	94.2025	28.2779	17.6311	-38.5442
119.49	94.8273	27.9714	17.6314	-38.4459
119.018	95.4956	28.1566	17.4774	-38.7109
118.391	96.1028	28.3123	17.4686	-40.2354
117.729	96.6726	28.1865	17.7713	-39.1943
117.146	97.2904	27.9569	17.9294	-40.0177
117.026	97.7335	28.0642	17.7705	-41.8165
116.462	98.3551	28.2479	17.8239	-40.7778
116.122	99.3214	28.5224	17.83	-40.9315
115.704	99.9049	28.4353	17.8107	-41.4991
115.304	100.581	28.4349	17.976	-43.0525
114.988	100.831	28.2513	18.0052	-42.7888
114.414	101.805	28.2694	18.2054	-43.3043
113.984	102.318	28.2893	18.329	-44.2184
113.78	103.165	28.4049	18.3737	-43.5832
113.525	103.577	18.5186	28.2153	44.903
113.094	104.419	28.6179	18.2971	-43.5085
112.899	105.131	28.0315	18.6241	-44.727
112.779	105.801	18.7092	28.4279	43.6729
112.263	106.67	18.9327	28.1468	43.9816
112.114	107.472	18.7763	28.6015	43.0308
111.745	108.142	18.8094	28.5444	43.2959
111.686	108.786	19.2448	28.05	42.9792
111.273	109.542	19.2454	28.0759	42.3739
111.343	110.039	19.258	28.0146	41.4522
111.412	110.758	19.3624	28.5516	40.2946
111.222	111.202	19.2913	28.0401	41.2435
111.198	111.793	19.4935	28.2991	38.7827
111.275	112.536	19.7525	28.4131	40.3448
111.222	113.023	19.6742	28.437	40.6486
111.214	113.506	19.8951	28.3942	39.9096
111.015	114.314	20.0113	28.1615	38.1281
111.091	114.889	19.9889	28.3479	37.408
110.975	115.438	20.0819	28.468	37.457
111.152	116.15	20.1049	28.5668	37.7325
111.403	116.349	20.1526	28.6267	37.967
111.37	117.798	20.215	28.5903	37.5893
111.392	117.961	20.342	28.6296	36.9176
111.516	118.688	20.5765	28.4415	35.9776
112.102	119.04	20.787	28.5407	37.5001
112.131	120.167	20.6325	28.7362	38.835
112.345	120.583	21.1395	28.7164	37.4485
112.479	121.101	21.1618	28.1073	35.6661
112.541	121.916	21.3038	28.474	36.1297
112.691	122.375	21.337	28.5604	35.4726
113.209	123.073	21.5605	28.4473	37.77
113.727	123.579	21.6877	28.3797	34.6062
