x	y	a	b	phi
113.655	124.336	21.9122	28.3958	34.2317
114.221	124.721	21.7449	28.7108	36.9456
114.606	125.243	22.0983	28.5971	34.7221
115.162	125.276	22.1777	28.7439	32.6733
115.764	125.955	21.9789	28.9136	36.7237
116.081	126.228	22.2608	28.8598	34.8066
116.586	126.778	22.8274	28.6589	34.1218
116.96	127.353	22.5219	28.8834	35.5275
117.107	127.622	22.7705	28.4668	34.9933
117.768	128.306	22.851	28.9372	34.0583
118.427	128.461	23.0007	28.5977	35.5225
118.605	128.746	22.9074	28.8919	35.3327
119.147	128.941	23.2015	28.6573	34.4087
119.917	129.627	23.1719	29.0407	31.7629
120.327	129.832	23.3126	29.0387	37.6332
120.794	130.023	23.7292	28.7054	33.1014
121.333	130.605	23.4458	28.9484	34.9421
121.943	130.845	23.7443	29.1361	33.8702
122.738	130.947	23.7851	28.618	33.8253
123.053	131.179	23.9761	28.6581	35.9062
123.617	131.542	24.3074	28.6369	32.5814
124.758	132.015	24.0564	28.7998	35.4333
125.022	131.886	24.0948	28.7249	35.3025
125.754	132.078	24.4966	28.9479	30.8029
126.586	132.264	24.8321	28.861	34.9305
127.294	132.473	24.7005	28.8509	35.0785
128.272	132.786	24.7298	28.7849	37.8976
128.897	133.033	25.0057	28.7238	36.2965
129.386	133.127	25.3431	28.5773	35.0826
130.234	133.16	25.1016	28.7649	36.6262
130.965	133.018	25.6019	28.6076	36.9406
131.737	132.912	25.5616	28.9347	39.6244
132.494	133.272	25.1665	28.7436	38.1473
133.342	133.198	25.2313	28.7711	37.6203
134.067	133.044	25.6003	28.8552	41.1861
135.056	132.656	25.944	28.923	43.3448
135.543	132.795	25.5338	28.6059	39.679
136.365	132.549	25.6857	28.9573	40.4637
137.089	132.858	25.5699	28.8534	42.1177
137.856	132.707	25.7903	28.8968	42.7231
138.55	132.542	26.1929	28.6239	41.5801
139.477	132.33	26.2393	29.0254	38.1641
139.763	132.39	26.4146	28.547	42.1303
140.772	132.3	26.0874	28.9646	43.5461
141.615	131.663	26.3666	28.568	43.9685
142.217	131.838	28.9807	26.0872	-42.1127
142.67	131.594	26.1137	28.9878	44.3319
143.712	131.59	29.3507	26.2224	-43.7495
144.41	131.252	28.7167	26.2001	-40.2556
145.069	130.821	29.0123	26.3234	-40.2795
146.076	130.555	28.869	26.4214	-37.7936
146.754	129.909	26.6661	28.9236	44.6655
147.768	129.781	28.74	26.3473	-37.2684
148.129	129.623	28.8567	26.6308	-42.8294
149.042	129.231	28.6229	26.5999	-35.4934
149.898	128.76	28.8635	26.5809	-31.5173
150.682	128.385	28.8174	26.6627	-33.1527
151.611	127.98	28.8015	26.3797	-34.6192
152.265	127.518	29.1293	26.2797	-31.6389
152.85	127.228	28.9974	26.5036	-28.1166
153.67	126.448	28.8624	26.8147	-34.3124
154.332	126.015	29.0752	26.6543	-23.7967
155.077	125.374	28.8685	26.8005	-26.4012
156.101	124.916	29.0289	26.6216	-24.8731
156.423	124.577	28.8482	26.6007	-25.4272
157.273	123.805	28.887	26.4366	-21.3782
157.946	123.349	28.8937	26.2546	-21.5885
158.441	123.141	28.7959	26.2888	-25.0781
159.348	122.196	28.7562	26.3763	-22.4367
159.807	121.98	28.6683	26.1397	-17.5048
160.343	121.315	29.3207	25.8927	-21.5206
160.883	120.691	28.7423	26.0579	-20.6767
161.187	120.206	29.0143	26.291	-16.8275
161.777	119.645	28.8465	26.3609	-16.0211
162.509	118.879	28.9072	26.004	-13.7133
162.623	118.22	28.5648	26.04	-12.7709
163.23	117.446	28.8509	25.9214	-13.5831
163.5	117.075	28.4859	25.5891	-13.0877
164.332	116.052	28.6508	25.858	-8.64315
164.725	115.044	28.6466	25.8788	-10.6289
165.228	114.377	28.622	25.501	-13.4257
165.981	113.365	28.8375	25.2517	-11.5519
165.737	112.527	28.6613	25.2459	-11.3177
166.553	111.416	28.6408	25.0503	-6.87601
167.014	110.465	28.7094	24.9576	-10.9519
167.387	109.449	28.6908	24.6852	-9.14922
167.614	108.422	28.336	24.8711	-6.78517
167.871	107.321	28.6253	24.5346	-8.48193
168.202	106.62	28.2797	24.6966	-3.81366
168.465	105.92	28.7077	24.0673	-7.58474
168.485	104.917	28.4467	23.9532	-7.22212
168.785	104.201	28.4902	24.2302	-8.92288
169.263	103.277	28.6946	23.6824	-6.03059
169.41	102.948	28.7411	24.0268	-8.10484
169.393	102.253	28.5351	23.4915	-9.67374
169.596	101.745	28.1495	23.7726	-7.28935
169.909	101.384	28.1671	23.3869	-6.47689
170.035	100.916	28.4972	23.5247	-7.19074
170.143	100.563	28.4686	23.4377	-6.09795
169.938	100.244	28.4397	23.3668	-8.18227
170.137	100.264	28.3348	23.4691	-5.34291
169.917	100.21	28.5849	23.462	-3.74369
