x	y	a	b	phi
211.326	86.7173	19.912	27.2078	-10.6521
211.326	86.7173	19.912	27.2078	-10.6521
211.329	86.4954	19.6449	27.2257	-11.2919
211.329	86.4954	19.6449	27.2257	-11.2919
211.302	86.3438	19.6886	26.9843	-11.4417
211.165	85.8298	19.8223	27.4631	-13.6874
210.947	85.4539	19.7345	27.5159	-12.1397
210.724	84.7935	19.9557	27.3984	-13.7295
210.679	84.4475	19.8824	27.52	-14.8467
210.809	83.6087	19.6729	27.6853	-13.089
210.806	82.901	19.838	27.1093	-14.0623
210.695	82.0869	19.9781	27.4147	-15.8784
210.393	81.2149	19.6526	27.3945	-14.4662
210.311	80.1829	19.8759	27.6134	-17.2497
209.959	79.4095	19.7551	27.736	-17.985
209.617	78.1441	19.6522	27.7512	-18.0744
209.338	77.16	19.5208	28.0657	-19.1556
208.939	76.0129	19.5848	27.7622	-20.5467
208.437	74.9421	19.5304	27.6582	-19.4934
208.333	74.3156	19.8231	27.4346	-21.4116
208.165	73.1372	19.8062	27.3716	-22.6083
207.59	71.8267	19.8343	27.9344	-24.1089
207.046	71.0196	19.5915	27.5779	-21.2083
206.636	70.228	19.6535	27.9925	-23.794
206.212	69.1082	19.8511	27.7954	-25.5226
205.709	68.549	19.6167	27.5183	-24.9297
205.33	67.3776	19.773	27.8437	-25.1042
205.017	66.9266	19.9127	27.2688	-27.8342
204.402	66.0256	19.9206	27.6311	-25.6663
204.264	65.3396	19.6487	27.388	-28.4506
203.737	64.7556	19.805	27.5919	-27.5933
203.379	64.3603	20.0374	27.2107	-30.3974
202.793	63.5953	19.7783	27.6003	-28.8595
202.225	63.056	20.0198	27.6704	-29.8812
201.824	62.6456	20.1635	27.6432	-30.5208
201.171	61.9471	19.862	27.8843	-29.7109
200.674	61.5027	20.1832	27.2616	-31.6031
200.093	60.8194	20.1397	27.95	-30.4742
199.817	60.6452	20.3747	27.4865	-30.4217
198.985	59.7617	20.0621	27.7752	-32.4067
198.565	59.2973	20.0163	27.7707	-32.3507
198.08	59.1928	20.1898	27.5933	-33.9666
197.125	58.3166	20.2736	27.7092	-35.1412
196.516	58.1595	20.4879	27.4561	-34.216
195.775	57.7027	20.3974	27.6864	-34.5806
195.097	57.2473	20.5344	27.8245	-36.5233
