x	y	a	b	phi
160.71	79.293	26.4475	28.2596	32.5652
160.71	79.293	26.4475	28.2596	32.5652
160.81	79.0354	26.5493	27.8617	35.8298
160.836	78.8832	26.5479	28.0231	31.2718
160.807	78.8046	26.468	28.0237	34.7749
160.881	78.4927	26.4767	28.3846	44.1185
160.772	77.7414	26.8373	28.1113	35.8388
160.569	77.5173	26.4581	28.1606	39.2597
160.554	76.816	26.4591	28.0564	40.4818
160.155	76.2296	28.0933	26.6941	-39.0798
159.914	75.4797	26.5262	27.861	38.2952
159.712	74.6598	28.0878	26.553	-44.1179
159.571	73.8438	28.2418	26.3895	-41.8695
159.391	72.6545	27.9803	26.3444	-43.6279
159.007	71.9947	28.1334	25.9547	-42.5453
158.773	71.0818	28.1558	26.1592	-40.8415
158.366	70.1588	28.5174	25.8347	-42.6616
157.952	68.7775	28.4023	25.7506	-42.0342
157.721	67.6908	27.7955	25.7138	-37.494
157.227	67.1808	27.7836	25.8114	-34.7602
156.889	66.104	27.9513	25.6068	-41.6401
156.744	65.1697	28.4783	25.4166	-36.5524
156.179	64.2869	28.1911	25.3271	-38.4942
155.867	63.2129	28.177	25.2785	-38.4203
155.401	62.5654	28.1349	24.9024	-38.5259
154.748	61.8586	28.2854	24.9846	-38.8513
154.141	61.0696	28.0876	24.6594	-39.4196
154.01	60.4006	28.2732	24.9791	-42.1671
153.445	59.9421	28.126	24.5345	-39.6684
152.838	59.5907	28.3996	24.5314	-40.3366
152.525	58.9068	28.0399	24.4907	-36.4643
152.036	58.6451	28.0599	24.3954	-39.2508
151.361	58.0282	27.9586	24.4159	-38.819
151.078	57.6567	28.008	24.1482	-40.9638
150.613	57.5233	28.0897	24.0386	-37.9762
150.247	57.139	28.2181	23.8502	-38.027
149.372	56.1058	28.2493	23.8749	-36.6246
148.795	56.1669	27.6193	24.0028	-40.222
148.339	55.6821	27.931	23.6356	-38.0466
147.636	55.5254	27.86	23.5731	-38.9287
147.112	55.0744	28.2781	23.4959	-39.6222
146.334	54.7674	27.657	23.582	-39.6997
145.666	54.5517	27.913	23.0668	-39.3507
144.942	54.1769	27.9273	23.4276	-40.0796
144.451	54.1189	28.0449	22.9002	-42.5555
143.826	53.8006	27.9838	23.1709	-42.5385
143.235	53.7595	27.7269	22.8703	-41.3445
142.351	53.5499	27.73	22.8781	-41.4682
141.407	53.5707	28.0326	22.7093	-41.4415
141.017	53.1439	28.0702	22.5538	-41.3538
140.179	53.138	22.7463	27.5982	44.365
139.434	52.9783	27.8725	22.3574	-43.0138
138.807	53.0912	27.7281	22.2607	-42.2493
138.179	53.0571	27.7639	22.2438	-42.5284
137.46	53.0589	28.0621	22.2156	-44.7187
136.715	52.932	22.0476	27.981	44.8085
136.091	52.9798	21.7693	28.1179	44.5827
135.786	53.1555	21.9059	28.0179	43.6679
134.793	53.3248	27.7848	22.1534	-44.3324
134.12	53.2423	21.4328	28.1316	43.3809
133.658	53.5462	21.4864	27.9951	42.4419
133.238	53.6464	21.5438	27.7652	44.5447
132.243	53.8236	21.4021	27.693	44.2574
131.628	53.6938	21.3953	27.799	41.1492
131.294	53.9561	21.3412	28.083	41.9693
130.379	54.0896	21.1671	27.9128	41.4853
130.117	54.0264	21.2321	27.8856	41.7555
129.213	54.6346	21.0775	27.8257	42.5252
128.189	54.9333	20.8992	27.884	40.8339
127.877	55.0338	20.8952	27.9818	41.2144
127.065	55.6158	20.6704	27.8136	39.2865
126.484	55.8327	20.8549	27.3524	38.5342
125.752	56.2788	20.7852	27.7807	38.4131
125.352	56.2663	20.471	27.512	37.8659
124.53	56.5905	20.4518	27.9779	38.1056
123.572	57.1513	20.491	27.6549	35.0623
123.088	57.2967	20.64	27.6406	35.6582
122.262	57.9683	20.4428	27.7605	32.9964
121.714	58.6222	20.5018	27.5721	34.8397
121.14	58.7585	20.5163	27.5659	33.2525
120.655	59.5223	20.5304	27.5211	33.7351
120.068	59.9497	20.2636	28.0896	32.3188
119.382	60.5477	20.2181	27.4206	33.5741
119.03	61.0662	20.1511	27.6637	32.3729
118.476	61.5663	20.1745	27.5059	31.5413
117.884	62.1295	20.0997	27.8218	30.1613
117.351	62.6476	19.814	27.755	31.1136
116.748	63.3152	19.8137	27.9435	29.7632
116.459	63.658	19.8319	27.8538	29.5703
115.557	64.5528	20.1985	27.553	29.1671
115.315	64.634	20.0272	27.4904	27.4115
114.797	65.4293	20.0985	27.7111	27.6486
114.55	66.0294	19.6385	27.8018	27.7072
